smiles,property_name,property_value,property_unit,label_source
O(C5=C(C)C=C(C2(C1=C(C=CC(=C1)Br)C3=CC=C(C=C23)Br)C4=CC(=C(O[S](=O)(=O)[*])C(=C4)C)C)C=C5C)[*],Glass transition temperature,-96.55,C,exp
**C(C(=O)OCC(COC(=O)C(C*)(C)*)(COC(=O)C(C*)*)CC)C,Glass transition temperature,-67.0,C,exp
**CC(=O)OCC(COC(=O)C(C*)*)(COC(=O)C(C*)*)CC,Glass transition temperature,-73.0,C,exp
**CC(=O)O[As](OC(=O)C(C*)*)OC(=O)C(C*)*,Melting temperature,43.0,C,exp
**Cc1ccc(cc1)CN(c1ccccc1)N=Cc1ccc(cc1)N(c1ccc(cc1)C=NN(c1ccccc1)Cc1ccc(cc1)C(C*)*)c1ccccc1,Glass transition temperature,122.0,C,exp
**c1cc(N*)ccc1*,Thermal decomposition temperature,700.0,C,exp
**c1cc(N*)ccc1*,Thermal decomposition weight loss,36.0,%,exp
*/C(=C(/*)\c1ccccc1)/c1ccccc1,Glass transition temperature,-66.5801141,C,sim
*/C(=C(/*)c1ccc(CCCC)cc1)c1ccccc1,Co2 Permeability Barrer,9400.000009,Barrer,exp
*/C(=C(/*)c1ccc(CCCC)cc1)c1ccccc1,O2 Permeability Barrer,2600.0,Barrer,exp
*/C(=C(/*)c1ccc(CCCC)cc1)c1ccccc1,Co2 Permeability Barrer,9400.000009,Barrer,sim
*/C(=C(/*)c1ccc(CCCC)cc1)c1ccccc1,O2 Permeability Barrer,2600.0,Barrer,sim
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,Co2 Permeability Barrer,340.0,Barrer,exp
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,O2 Permeability Barrer,45.00000002,Barrer,exp
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,Co2 Permeability Barrer,340.0,Barrer,sim
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc(CCCC)cc1,O2 Permeability Barrer,45.00000002,Barrer,sim
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,21.00000001,Barrer,exp
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,2.500000002,Barrer,exp
*/C(=C(/*)c1ccc(S(=O)(=O)O)cc1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,21.00000001,Barrer,sim
