doe_run,candidate_id,pi_source_id,monomer_a,monomer_b,cluster,polybert_x,polybert_y,polymer_smiles,monomer_a_smiles,monomer_b_smiles,cte_ppm_k
DOE-01,PI-1555755,1555755,PI-1555755-A,PI-1555755-B,pi-doe-cte,63.38,43.47,*c1ncnc2ncc(C)c(N3C(=O)c4ccc(OC(=O)c5ccc(CN(CC)Cc6ccc(C(=O)Oc7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)c12,CCN(Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cnc2ncnc(N)c2c1N,68
DOE-02,PI-234126,234126,PI-234126-A,PI-234126-B,pi-doe-cte,33.31,44.55,*CCOC(=O)c1ccc(-c2ccc(Sc3ccc(-c4ccc(C(=O)OCCN5C(=O)c6ccc(C(=O)c7ccc(C(C)c8ccc(C(=O)c9ccc%10c(c9)C(=O)N(*)C%10=O)o8)o7)cc6C5=O)o4)cc3)cc2)o1,CC(c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1,NCCOC(=O)c1ccc(-c2ccc(Sc3ccc(-c4ccc(C(=O)OCCN)o4)cc3)cc2)o1,68
DOE-03,PI-830188,830188,PI-830188-A,PI-830188-B,pi-doe-cte,32.03,22.91,*c1cc(C=CCCN2C(=O)c3ccc(NC(=O)c4ccc(C(CC)C(CC)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)c(C)cn1,CCC(c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1)C(CC)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cnc(N)cc1C=CCCN,29
DOE-04,PI-1426250,1426250,PI-1426250-A,PI-1426250-B,pi-doe-cte,80.18,44.13,*CCC(=O)OCc1ccc(CC(Cc2ccc(COC(=O)CCN3C(=O)c4ccc(C(=O)Oc5ccc(CC(Cc6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)o6)OC(=O)CCCC)o5)cc4C3=O)o2)N(C)C)o1,CCCCC(=O)OC(Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,CN(C)C(Cc1ccc(COC(=O)CCN)o1)Cc1ccc(COC(=O)CCN)o1,68
DOE-05,PI-700683,700683,PI-700683-A,PI-700683-B,pi-doe-cte,17.13,31.11,*c1ccc(OC(=O)c2ccc(CN(Cc3ccccc3)Cc3ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(C(=O)OCc7ccc(C(C)(C)c8ccc(COC(=O)c9ccc%10c(c9)C(=O)N(*)C%10=O)o8)o7)cc6C5=O)cc4)o3)o2)cc1,CC(C)(c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Nc1ccc(OC(=O)c2ccc(CN(Cc3ccccc3)Cc3ccc(C(=O)Oc4ccc(N)cc4)o3)o2)cc1,68
DOE-06,PI-1167240,1167240,PI-1167240-A,PI-1167240-B,pi-doe-cte,48.87,47.28,*c1[nH]c(C)c(CCCC=C)c1N1C(=O)c2ccc(OC(=O)c3ccc(C(CC)(CC)c4ccc(C(=O)Oc5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O,CCC(CC)(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,C=CCCCc1c(C)[nH]c(N)c1N,64
DOE-07,PI-441673,441673,PI-441673-A,PI-441673-B,pi-doe-cte,29.50,35.93,*CCC(OC)c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(C(CCN4C(=O)c5ccc(OC(=O)c6ccc(C(C)C(C)c7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)o7)o6)cc5C4=O)OC)o3)cc2)o1,CC(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,COC(CCN)c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(C(CCN)OC)o3)cc2)o1,68
DOE-08,PI-312168,312168,PI-312168-A,PI-312168-B,pi-doe-cte,55.03,18.36,*Cc1cc2nc(N3C(=O)c4ccc(C(=O)OCc5ccc(C(C)c6ccc(COC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)c(C)cn2c1,CC(c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1cn2cc(CN)cc2nc1N,45
DOE-09,PI-1582334,1582334,PI-1582334-A,PI-1582334-B,pi-doe-cte,44.14,13.04,*c1ncc2nc(C)c(CN3C(=O)c4ccc(C(=O)Oc5ccc(CN(CC)Cc6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)cn12,CCN(Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1nc2cnc(N)n2cc1CN,68
DOE-10,PI-260705,260705,PI-260705-A,PI-260705-B,pi-doe-cte,20.40,19.61,*CC(CCN1C(=O)c2ccc(C(=O)c3ccc(C(C)C(C)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O)c1ccc(C)nc1,CC(c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1ccc(C(CN)CCN)cn1,68
DOE-11,PI-856767,856767,PI-856767-A,PI-856767-B,pi-doe-cte,41.97,36.24,*c1ncn2cnc(C)c(CN3C(=O)c4ccc(OC(=O)c5ccc(C(C)(C)c6ccc(C(=O)Oc7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)c12,CC(C)(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,Cc1ncn2cnc(N)c2c1CN,28
DOE-12,PI-1323324,1323324,PI-1323324-A,PI-1323324-B,pi-doe-cte,52.45,24.36,*Cc1c(C)c(N2C(=O)c3ccc(C(=O)OCc4ccc(CC(Cc5ccc(COC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)OC(=O)CCCC)o4)cc3C2=O)nc2cccn12,CCCCC(=O)OC(Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)nc2cccn2c1CN,68
