doe_run,candidate_id,pi_source_id,monomer_a,monomer_b,cluster,polybert_x,polybert_y,polymer_smiles,monomer_a_smiles,monomer_b_smiles,elongation_percent
DOE-01,PI-468252,468252,PI-468252-A,PI-468252-B,pi-doe-elongation,80.67,19.15,*CCNC(=O)c1ccc(C=CC=Cc2ccc(C(=O)NCCN3C(=O)c4ccc(C(=O)Oc5ccc(C(C)c6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)o2)o1,CC(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,NCCNC(=O)c1ccc(C=CC=Cc2ccc(C(=O)NCCN)o2)o1,27
DOE-02,PI-1064314,1064314,PI-1064314-A,PI-1064314-B,pi-doe-elongation,34.68,37.17,*Cc1ncc(C)nc1C(C)(C)N1C(=O)c2ccc(OCc3ccc(C(CC)(CC)c4ccc(COc5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O,CCC(CC)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cnc(CN)c(C(C)(C)N)n1,18
DOE-03,PI-338747,338747,PI-338747-A,PI-338747-B,pi-doe-elongation,23.08,35.22,*Cc1nc(N2C(=O)c3ccc(C(=O)OCc4ccc(C(C)C(C)c5ccc(COC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)c(C)c2nccn12,CC(c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)nc(CN)n2ccnc12,14
DOE-04,PI-934809,934809,PI-934809-A,PI-934809-B,pi-doe-elongation,28.37,27.80,*c1ccc(NC(=O)c2ccc(CC(=O)CCc3ccc(C(=O)Nc4ccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)o3)o2)cc1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(NC(=O)c2ccc(CCC(=O)Cc3ccc(C(=O)Nc4ccc(N)cc4)o3)o2)cc1,24
DOE-05,PI-805304,805304,PI-805304-A,PI-805304-B,pi-doe-elongation,70.61,43.90,*c1ccc2c(N3C(=O)c4ccc(NC(=O)c5ccc(CC(C)Cc6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)c(C)cnc2n1,CC(Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cnc2nc(N)ccc2c1N,24
DOE-06,PI-675799,675799,PI-675799-A,PI-675799-B,pi-doe-elongation,81.32,36.52,*CCOC(=O)c1ccc(CC(Cc2ccc(C(=O)OCCN3C(=O)c4ccc(OCc5ccc(C(CC)C(CC)c6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)o2)NC)o1,CCC(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)C(CC)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,CNC(Cc1ccc(C(=O)OCCN)o1)Cc1ccc(C(=O)OCCN)o1,19
DOE-07,PI-546294,546294,PI-546294-A,PI-546294-B,pi-doe-elongation,48.19,48.87,*c1c(C)c(CN2C(=O)c3ccc(C(=O)c4ccc(C(C)(C)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)nc2[nH]ncc12,CC(C)(c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(CN)nc2[nH]ncc2c1N,14
DOE-08,PI-416789,416789,PI-416789-A,PI-416789-B,pi-doe-elongation,51.61,26.22,*c1ccc(C(=O)c2ccc(C(CC)(CC)c3ccc(C(=O)c4ccc(N5C(=O)c6ccc(OC(=O)c7ccc(C(C)c8ccc(C(=O)Oc9ccc%10c(c9)C(=O)N(*)C%10=O)o8)o7)cc6C5=O)cc4)o3)o2)cc1,CC(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,CCC(CC)(c1ccc(C(=O)c2ccc(N)cc2)o1)c1ccc(C(=O)c2ccc(N)cc2)o1,27
DOE-09,PI-287284,287284,PI-287284-A,PI-287284-B,pi-doe-elongation,61.94,45.10,*Cc1ccn(NCCCN2C(=O)c3ccc(OCc4ccc(C(C)C(C)c5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)c1C,CC(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(CN)ccn1NCCCN,14
DOE-10,PI-1479408,1479408,PI-1479408-A,PI-1479408-B,pi-doe-elongation,63.60,13.97,*Cc1c(N2C(=O)c3ccc(C(=O)OCc4ccc(CN(CC)Cc5ccc(COC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)nnc2ccc(C)n12,CCN(Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1ccc2nnc(N)c(CN)n12,21
