doe_run,candidate_id,pi_source_id,monomer_a,monomer_b,cluster,polybert_x,polybert_y,polymer_smiles,monomer_a_smiles,monomer_b_smiles,modulus_gpa
DOE-01,PI-365326,365326,PI-365326-A,PI-365326-B,pi-doe-modulus,65.24,47.91,*c1c(N2C(=O)c3ccc(NC(=O)c4ccc(C(C)c5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)cnc2c(C)c(C)[nH]c12,CC(c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1,Cc1[nH]c2c(N)c(N)cnc2c1C,2.6
DOE-02,PI-961388,961388,PI-961388-A,PI-961388-B,pi-doe-modulus,19.23,30.87,*COCc1ccc(C=CC=Cc2ccc(COCN3C(=O)c4ccc(C(=O)Oc5ccc(C(C)(C)c6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)o2)o1,CC(C)(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)cc1,NCOCc1ccc(C=CC=Cc2ccc(COCN)o2)o1,2.0
DOE-03,PI-1557450,1557450,PI-1557450-A,PI-1557450-B,pi-doe-modulus,74.68,48.24,*CCCCNn1c(C)cnc1N1C(=O)c2ccc(OC(=O)c3ccc(CN(CC)Cc4ccc(C(=O)Oc5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O,CCN(Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cnc(N)n1NCCCCN,2.6
DOE-04,PI-1298440,1298440,PI-1298440-A,PI-1298440-B,pi-doe-modulus,42.05,16.15,*c1nnc2c(C)c(N3C(=O)c4ccc(OCc5ccc(CC(Cc6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)o6)OC(=O)CCCC)o5)cc4C3=O)cc(C)n12,CCCCC(=O)OC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)cc(C)n2c(N)nnc12,1.9
DOE-05,PI-572873,572873,PI-572873-A,PI-572873-B,pi-doe-modulus,73.39,29.90,*c1c(C)c(N2C(=O)c3ccc(OCc4ccc(C(C)(C)c5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)nc2c1CCNC2,CC(C)(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)nc2c(c1N)CCNC2,2.4
DOE-06,PI-909925,909925,PI-909925-A,PI-909925-B,pi-doe-modulus,60.58,37.73,*c1nc(NCC=C)c(N2C(=O)c3ccc(OC(=O)c4ccc(C(CC)C(CC)c5ccc(C(=O)Oc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)cc1C,CCC(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)C(CC)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,C=CCNc1nc(N)c(C)cc1N,2.0
DOE-07,PI-1246977,1246977,PI-1246977-A,PI-1246977-B,pi-doe-modulus,20.77,29.27,*CC(CN1CCC(C)(C)CC1)N1C(=O)c2ccc(C(=O)Oc3cc(OC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc(C(=O)CCCC)c3)cc2C1=O,CCCCC(=O)c1cc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)cc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)c1,CC1(C)CCN(CC(N)CN)CC1,1.9
DOE-08,PI-262400,262400,PI-262400-A,PI-262400-B,pi-doe-modulus,70.65,44.00,*N1C(=O)c2ccc(C(=O)c3ccc(C(C)C(C)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5ccc(C)c(CC(*)(C)C)n5)C6=O)o4)o3)cc2C1=O,CC(c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1)C(C)c1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1ccc(N)nc1CC(C)(C)N,2.9
DOE-09,PI-858462,858462,PI-858462-A,PI-858462-B,pi-doe-modulus,44.51,47.61,*c1c(C)nnc2cc(CN3C(=O)c4ccc(OC(=O)c5ccc(C(C)(C)c6ccc(C(=O)Oc7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)cn12,CC(C)(c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(C(=O)Oc2ccc3c(c2)C(=O)OC3=O)o1,Cc1nnc2cc(CN)cn2c1N,2.4
DOE-10,PI-1454524,1454524,PI-1454524-A,PI-1454524-B,pi-doe-modulus,27.08,13.53,*c1cc2[nH]c(C)cc2c(CN2C(=O)c3ccc(OCc4ccc(CN(CC)Cc5ccc(COc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)n1,CCN(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,Cc1cc2c(CN)nc(N)cc2[nH]1,2.0
