doe_run,candidate_id,pi_source_id,monomer_a,monomer_b,cluster,polybert_x,polybert_y,polymer_smiles,monomer_a_smiles,monomer_b_smiles,tg_c
DOE-01,PI-984577,984577,PI-984577-A,PI-984577-B,pi-doe-tg,38.85,37.12,*CCOC(=O)c1ccc(CCCCCc2ccc(C(=O)OCCN3C(=O)c4ccc(C(=O)Oc5ccc(C(C)(C)c6ccc(OC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)o6)o5)cc4C3=O)o2)o1,CC(C)(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,NCCOC(=O)c1ccc(CCCCCc2ccc(C(=O)OCCN)o2)o1,379
DOE-02,PI-1580639,1580639,PI-1580639-A,PI-1580639-B,pi-doe-tg,60.87,18.94,*CCCCc1c(C)c(N2C(=O)c3ccc(C(=O)Oc4ccc(CN(CC)Cc5ccc(OC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)cn1C,CCN(Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)cn(C)c1CCCCN,392
DOE-03,PI-1451134,1451134,PI-1451134-A,PI-1451134-B,pi-doe-tg,31.39,24.54,*c1ccc(OC(=O)c2ccc(CNC(=O)NCc3ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc(CN(CC)Cc8ccc(C(=O)c9ccc%10c(c9)C(=O)N(*)C%10=O)o8)o7)cc6C5=O)c(F)c4)o3)o2)cc1F,CCN(Cc1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(C(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Nc1ccc(OC(=O)c2ccc(CNC(=O)NCc3ccc(C(=O)Oc4ccc(N)c(F)c4)o3)o2)cc1F,482
DOE-04,PI-1321629,1321629,PI-1321629-A,PI-1321629-B,pi-doe-tg,31.27,33.68,*c1cccc(C=CCCN2C(=O)c3ccc(C(=O)OCc4ccc(CC(Cc5ccc(COC(=O)c6ccc7c(c6)C(=O)N(*)C7=O)o5)OC(=O)CCCC)o4)cc3C2=O)c1C,CCCCC(=O)OC(Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(N)cccc1C=CCCN,370
DOE-05,PI-1192124,1192124,PI-1192124-A,PI-1192124-B,pi-doe-tg,25.08,38.53,*c1ccc(C(=O)OCc2ccc(C(COC)(COC)c3ccc(COC(=O)c4ccc(N5C(=O)c6ccc(C(=O)Oc7ccc(C(CC)(CC)c8ccc(OC(=O)c9ccc%10c(c9)C(=O)N(*)C%10=O)o8)o7)cc6C5=O)cc4)o3)o2)cc1,CCC(CC)(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,COCC(COC)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,384
DOE-06,PI-933114,933114,PI-933114-A,PI-933114-B,pi-doe-tg,39.76,18.41,*CC(=C)c1cc(C)c(C)nc1N1C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4)cc3)cc2C1=O,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,C=C(CN)c1cc(C)c(C)nc1N,465
DOE-07,PI-1529176,1529176,PI-1529176-A,PI-1529176-B,pi-doe-tg,51.43,16.15,*Cc1c(C)c(N2C(=O)c3ccc(NC(=O)c4ccc(CN(CC)Cc5ccc(C(=O)Nc6ccc7c(c6)C(=O)N(*)C7=O)o5)o4)cc3C2=O)n2ccccc12,CCN(Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)OC3=O)o1,Cc1c(CN)c2ccccn2c1N,501
DOE-08,PI-1011156,1011156,PI-1011156-A,PI-1011156-B,pi-doe-tg,33.35,34.40,*C(CCN1C(=O)c2ccc(C(=O)Oc3ccc(C(CC)C(CC)c4ccc(OC(=O)c5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O)Cc1ccc(C)cn1,CCC(c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)C(CC)c1ccc(OC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1ccc(CC(N)CCN)nc1,435
DOE-09,PI-1477713,1477713,PI-1477713-A,PI-1477713-B,pi-doe-tg,44.03,14.73,*Cc1cc2cc(C)cn2nc1N1C(=O)c2ccc(C(=O)OCc3ccc(CN(CC)Cc4ccc(COC(=O)c5ccc6c(c5)C(=O)N(*)C6=O)o4)o3)cc2C1=O,CCN(Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COC(=O)c2ccc3c(c2)C(=O)OC3=O)o1,Cc1cc2cc(CN)c(N)nn2c1,421
DOE-10,PI-752146,752146,PI-752146-A,PI-752146-B,pi-doe-tg,65.32,38.87,*c1cnc2nc(N3C(=O)c4cc(NC(C)=O)c(NC(=O)c5ccc(C(CC)C(CC)c6ccc(C(=O)Nc7cc8c(cc7NC(C)=O)C(=O)N(*)C8=O)o6)o5)cc4C3=O)c(C)ccc1-2,CCC(c1ccc(C(=O)Nc2cc3c(cc2NC(C)=O)C(=O)OC3=O)o1)C(CC)c1ccc(C(=O)Nc2cc3c(cc2NC(C)=O)C(=O)OC3=O)o1,Cc1ccc2c(N)cnc-2nc1N,531
