id,name,SMILES,source_row,source_label
DH0001,二酐样本-001,O=C1OC(=O)c2cc(OCc3ccc(COc4ccc5c(c4)C(=O)OC5=O)o3)ccc21,15057,4
DH0002,二酐样本-002,O=C1OC(=O)c2cc(OCc3ccc(COCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15058,4
DH0003,二酐样本-003,O=C1OC(=O)c2cc(OCc3ccc(SSc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15059,4
DH0004,二酐样本-004,O=C1OC(=O)c2cc(OCc3ccc(CSCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15060,4
DH0005,二酐样本-005,O=C1OC(=O)c2cc(OCc3ccc(Oc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15061,4
DH0006,二酐样本-006,O=C1OC(=O)c2cc(OCc3ccc(COCCOCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15062,4
DH0007,二酐样本-007,O=C1OC(=O)c2cc(OCc3ccc(-c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15063,4
DH0008,二酐样本-008,O=C1OC(=O)c2cc(OCc3ccc(C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15064,4
DH0009,二酐样本-009,O=C(C(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15065,4
DH0010,二酐样本-010,O=C1OC(=O)c2cc(OCc3ccc(C(=O)C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15066,4
DH0011,二酐样本-011,O=C1OC(=O)c2cc(OCc3ccc(C(O)C(O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15067,4
DH0012,二酐样本-012,O=C(CC(=O)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15068,4
DH0013,二酐样本-013,O=C1OC(=O)c2cc(OCc3ccc(C=CC(O)C=Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15069,4
DH0014,二酐样本-014,O=C1OC(=O)c2cc(OCc3ccc(CCC(O)CCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15070,4
DH0015,二酐样本-015,O=C1OC(=O)c2cc(OCc3ccc(C=NN=Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15071,4
DH0016,二酐样本-016,O=C1OC(=O)c2cc(OCc3ccc(COCOCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15072,4
DH0017,二酐样本-017,O=C1OC(=O)c2cc(OCc3ccc(Sc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15073,4
DH0018,二酐样本-018,O=C1OC(=O)c2cc(OCc3ccc(S(=O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15074,4
DH0019,二酐样本-019,O=C1OC(=O)c2cc(OCc3ccc(S(=O)(=O)c4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15075,4
DH0020,二酐样本-020,O=C1OC(=O)c2cc(OCc3ccc(CNCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15076,4
